Row_Created_Date_Time,Service_Year,OMH_Region_Code,OMH_Region_Label,County_Label,Age_Group,Rate_Code_Group,Recipient_Count_By_County,Count_Of_ Recipients_By_Rate_Code_Group_And_County,Units_Total,Paid_Claim_Total
7/19/2017 9:44,2011,4,New York City,Bronx,ADULT,Community Residence,23922,561,4582,12549431
7/19/2017 9:44,2011,4,New York City,Bronx,ADULT,Psychiatric Inpatient,23922,3557,89014,83707624
7/19/2017 9:44,2011,4,New York City,Bronx,ADULT,Psychiatric Inpatient OMH,23922,63,10366,9174742
7/19/2017 9:44,2011,4,New York City,Bronx,ADULT,Intensive Psychiatric Rehabilitation Treatment,23922,76,1261,175258
7/19/2017 9:44,2011,4,New York City,Bronx,ADULT,Partial Hospitalization,23922,178,2727,493400
7/19/2017 9:44,2011,4,New York City,Bronx,ADULT,Personalized Recovery Oriented Services,23922,678,7426,3782276
7/19/2017 9:44,2011,4,New York City,Bronx,ADULT,Recovery Services (PMHP - Prepaid Mental Health Plan),23922,401,4059,6024499
7/19/2017 9:44,2011,4,New York City,Bronx,ADULT,"Targeted Case Management (ICM, BCM, SCM)",23922,1074,8026,3788626
7/19/2017 9:44,2011,4,New York City,Bronx,CHILD,Home and Community Based Services Waiver (HCBS),11293,263,7919,4480433
7/19/2017 9:44,2011,4,New York City,Bronx,CHILD,Clinic Treatment,11293,10181,128405,19830154
7/19/2017 9:44,2011,4,New York City,Bronx,CHILD,Comprehensive Psychiatric Emergency Program,11293,433,611,277872
7/19/2017 9:44,2011,4,New York City,Bronx,CHILD,Community Residence,11293,52,317,3603448
7/19/2017 9:44,2011,4,New York City,Bronx,CHILD,Day Treatment,11293,570,62269,7791722
7/19/2017 9:44,2011,4,New York City,Bronx,CHILD,Family Based Treatment/Teaching Family Home,11293,10,64,339285
7/19/2017 9:44,2011,4,New York City,Bronx,CHILD,Psychiatric Inpatient,11293,193,6227,6271660
7/19/2017 9:44,2011,4,New York City,Bronx,CHILD,Psychiatric Inpatient OMH,11293,161,20478,26019379
7/19/2017 9:44,2011,4,New York City,Bronx,CHILD,Partial Hospitalization,11293,102,1374,176748
7/19/2017 9:44,2011,4,New York City,Bronx,CHILD,Residential Treatment Facility,11293,56,11491,5695320
7/19/2017 9:44,2011,4,New York City,Bronx,CHILD,"Targeted Case Management (ICM, BCM, SCM)",11293,151,840,486601
7/19/2017 9:44,2011,4,New York City,Kings,ADULT,Assertive Community Treatment,37140,575,4835,6533579
7/19/2017 9:44,2011,4,New York City,Kings,ADULT,Continuing Day Treatment,37140,1361,96916.9,8533432
7/19/2017 9:44,2011,4,New York City,Kings,ADULT,Clinic Treatment,37140,28455,470518.9,60274259
7/19/2017 9:44,2011,4,New York City,Kings,ADULT,Comprehensive Psychiatric Emergency Program,37140,1520,2423,1154636
7/19/2017 9:44,2011,4,New York City,Kings,ADULT,Community Residence,37140,636,6059,14616118
7/19/2017 9:44,2011,4,New York City,Kings,ADULT,Psychiatric Inpatient,37140,6193,157062,139581976
7/19/2017 9:44,2011,4,New York City,Kings,ADULT,Intensive Psychiatric Rehabilitation Treatment,37140,23,611,55673
7/19/2017 9:44,2011,4,New York City,Kings,ADULT,Partial Hospitalization,37140,259,3722,779854
7/19/2017 9:44,2011,4,New York City,Kings,ADULT,Personalized Recovery Oriented Services,37140,1344,16156,7628937
7/19/2017 9:44,2011,4,New York City,Kings,ADULT,Recovery Services (PMHP - Prepaid Mental Health Plan),37140,279,2901,4308541
7/19/2017 9:44,2011,4,New York City,Kings,ADULT,"Targeted Case Management (ICM, BCM, SCM)",37140,2571,19080,9557676
7/19/2017 9:44,2011,4,New York City,Kings,CHILD,Home and Community Based Services Waiver (HCBS),15244,308,4151,4599496
7/19/2017 9:44,2011,4,New York City,Kings,CHILD,Clinic Treatment,15244,14369,213993,26686441
7/19/2017 9:44,2011,4,New York City,Kings,CHILD,Comprehensive Psychiatric Emergency Program,15244,415,565,296482
7/19/2017 9:44,2011,4,New York City,Kings,CHILD,Community Residence,15244,63,933,2060884
7/19/2017 9:44,2011,4,New York City,Kings,CHILD,Day Treatment,15244,346,39240,7846793
7/19/2017 9:44,2011,4,New York City,Kings,CHILD,Family Based Treatment/Teaching Family Home,15244,30,189,1006503
7/19/2017 9:44,2011,4,New York City,Kings,CHILD,Psychiatric Inpatient,15244,410,8200,8375691
7/19/2017 9:44,2011,4,New York City,Kings,CHILD,Psychiatric Inpatient OMH,15244,51,9424,11866749
7/19/2017 9:44,2011,4,New York City,Kings,CHILD,"Targeted Case Management (ICM, BCM, SCM)",15244,401,2573,1550508
7/19/2017 9:44,2011,4,New York City,New York,ADULT,Assertive Community Treatment,39802,1238,10821,15328344
7/19/2017 9:44,2011,4,New York City,New York,ADULT,Continuing Day Treatment,39802,1653,118974,10055747
7/19/2017 9:44,2011,4,New York City,New York,ADULT,Clinic Treatment,39802,28170,423541.9,57971679
7/19/2017 9:44,2011,4,New York City,New York,ADULT,Comprehensive Psychiatric Emergency Program,39802,3328,6470.4,2301044
7/19/2017 9:44,2011,4,New York City,New York,ADULT,Community Residence,39802,888,7241,19398164
7/19/2017 9:44,2011,4,New York City,New York,ADULT,Psychiatric Inpatient,39802,6647,158749,152703828
7/19/2017 9:44,2011,4,New York City,New York,ADULT,Psychiatric Inpatient OMH,39802,60,7890,6846213
7/19/2017 9:44,2011,4,New York City,New York,ADULT,Intensive Psychiatric Rehabilitation Treatment,39802,50,1015,89586
7/19/2017 9:44,2011,4,New York City,New York,ADULT,Partial Hospitalization,39802,25,253,35041
7/19/2017 9:44,2011,4,New York City,New York,ADULT,Personalized Recovery Oriented Services,39802,1020,12061,4839022
7/19/2017 9:44,2011,4,New York City,New York,ADULT,Recovery Services (PMHP - Prepaid Mental Health Plan),39802,978,9534,14142534
7/19/2017 9:44,2011,4,New York City,New York,ADULT,"Targeted Case Management (ICM, BCM, SCM)",39802,2986,21008,10917212
7/19/2017 9:44,2011,4,New York City,New York,CHILD,Home and Community Based Services Waiver (HCBS),11239,215,1409,4610541
7/19/2017 9:44,2011,4,New York City,New York,CHILD,Clinic Treatment,11239,10469,161485,25160494
7/19/2017 9:44,2011,4,New York City,New York,CHILD,Comprehensive Psychiatric Emergency Program,11239,100,131,68493
7/19/2017 9:44,2011,4,New York City,New York,CHILD,Day Treatment,11239,164,14967,1876306
7/19/2017 9:44,2011,4,New York City,New York,CHILD,Family Based Treatment/Teaching Family Home,11239,22,147,824831
7/19/2017 9:44,2011,4,New York City,New York,CHILD,Psychiatric Inpatient,11239,504,12362,12358764
7/19/2017 9:44,2011,4,New York City,New York,CHILD,Residential Treatment Facility,11239,45,11763,6400596
7/19/2017 9:44,2011,4,New York City,New York,CHILD,"Targeted Case Management (ICM, BCM, SCM)",11239,523,3123,1762561
7/19/2017 9:44,2011,4,New York City,Queens,ADULT,Assertive Community Treatment,21468,679,5292,7413256
7/19/2017 9:44,2011,4,New York City,Queens,ADULT,Continuing Day Treatment,21468,1500,164541,12162750
7/19/2017 9:44,2011,4,New York City,Queens,ADULT,Clinic Treatment,21468,15230,315009,39523377
7/19/2017 9:44,2011,4,New York City,Queens,ADULT,Comprehensive Psychiatric Emergency Program,21468,1003,1379,671817
7/19/2017 9:44,2011,4,New York City,Queens,ADULT,Community Residence,21468,523,4378,11440601
7/19/2017 9:44,2011,4,New York City,Queens,ADULT,Psychiatric Inpatient,21468,3007,70150,60872985
7/19/2017 9:44,2011,4,New York City,Queens,ADULT,Psychiatric Inpatient OMH,21468,56,11492,10076715
7/19/2017 9:44,2011,4,New York City,Queens,ADULT,Intensive Psychiatric Rehabilitation Treatment,21468,258,11909,1223255
7/19/2017 9:44,2011,4,New York City,Queens,ADULT,Partial Hospitalization,21468,450,6907,2027362
7/19/2017 9:44,2011,4,New York City,Queens,ADULT,Personalized Recovery Oriented Services,21468,279,1872,813315
7/19/2017 9:44,2011,4,New York City,Queens,ADULT,Recovery Services (PMHP - Prepaid Mental Health Plan),21468,916,9020,13378520
7/19/2017 9:44,2011,4,New York City,Queens,ADULT,"Targeted Case Management (ICM, BCM, SCM)",21468,2443,19553,8388283
7/19/2017 9:44,2011,4,New York City,Queens,CHILD,Home and Community Based Services Waiver (HCBS),9309,183,1502,3683071
7/19/2017 9:44,2011,4,New York City,Queens,CHILD,Clinic Treatment,9309,7896,123399,20506200
7/19/2017 9:44,2011,4,New York City,Queens,CHILD,Comprehensive Psychiatric Emergency Program,9309,152,190,98719
7/19/2017 9:44,2011,4,New York City,Queens,CHILD,Community Residence,9309,42,209,2554441
7/19/2017 9:44,2011,4,New York City,Queens,CHILD,Day Treatment,9309,364,33160,9614766
7/19/2017 9:44,2011,4,New York City,Queens,CHILD,Psychiatric Inpatient,9309,723,23429,14707026
7/19/2017 9:44,2011,4,New York City,Queens,CHILD,Psychiatric Inpatient OMH,9309,158,25544,32460708
7/19/2017 9:44,2011,4,New York City,Queens,CHILD,Partial Hospitalization,9309,30,467,132150
7/19/2017 9:44,2011,4,New York City,Queens,CHILD,Residential Treatment Facility,9309,90,19973,9155025
7/19/2017 9:44,2011,4,New York City,Queens,CHILD,"Targeted Case Management (ICM, BCM, SCM)",9309,538,3668,2082142
7/19/2017 9:44,2011,4,New York City,Richmond,ADULT,Assertive Community Treatment,6790,189,1559,1864478
7/19/2017 9:44,2011,4,New York City,Richmond,ADULT,Continuing Day Treatment,6790,322,16977,1122220
7/19/2017 9:44,2011,4,New York City,Richmond,ADULT,Clinic Treatment,6790,3654,47688.9,6005077
7/19/2017 9:44,2011,4,New York City,Richmond,ADULT,Comprehensive Psychiatric Emergency Program,6790,895,1349,648448
7/19/2017 9:44,2011,4,New York City,Richmond,ADULT,Community Residence,6790,190,1528,4263693
7/19/2017 9:44,2011,4,New York City,Richmond,ADULT,Psychiatric Inpatient,6790,879,17298,12907294
7/19/2017 9:44,2011,4,New York City,Richmond,ADULT,Psychiatric Inpatient OMH,6790,43,5939,5346898
7/19/2017 9:44,2011,4,New York City,Richmond,ADULT,Partial Hospitalization,6790,153,1788,230540
7/19/2017 9:44,2011,4,New York City,Richmond,ADULT,Recovery Services (PMHP - Prepaid Mental Health Plan),6790,1803,18668,27728608
7/19/2017 9:44,2011,4,New York City,Richmond,ADULT,"Targeted Case Management (ICM, BCM, SCM)",6790,462,4103,1977041
7/19/2017 9:44,2011,4,New York City,Richmond,CHILD,Home and Community Based Services Waiver (HCBS),1762,54,2786,986155
7/19/2017 9:44,2011,4,New York City,Richmond,CHILD,Clinic Treatment,1762,1510,25742,6470187
7/19/2017 9:44,2011,4,New York City,Richmond,CHILD,Comprehensive Psychiatric Emergency Program,1762,99,129,66360
7/19/2017 9:44,2011,4,New York City,Richmond,CHILD,Community Residence,1762,4,9,25058
7/19/2017 9:44,2011,4,New York City,Richmond,CHILD,Day Treatment,1762,246,21866,3262837
7/19/2017 9:44,2011,4,New York City,Richmond,CHILD,Family Based Treatment/Teaching Family Home,1762,40,222,1287648
7/19/2017 9:44,2011,4,New York City,Richmond,CHILD,Psychiatric Inpatient,1762,42,849,628534
7/19/2017 9:44,2011,4,New York City,Richmond,CHILD,Psychiatric Inpatient OMH,1762,33,3490,4502937
7/19/2017 9:44,2011,4,New York City,Richmond,CHILD,"Targeted Case Management (ICM, BCM, SCM)",1762,125,932,542055
7/19/2017 9:44,2011,5,Long Island,Nassau,ADULT,Assertive Community Treatment,9596,210,1943,2700733
7/19/2017 9:44,2011,5,Long Island,Nassau,ADULT,Continuing Day Treatment,9596,46,5187,308364
7/19/2017 9:44,2011,5,Long Island,Nassau,ADULT,Clinic Treatment,9596,5824,78730,11318739
7/19/2017 9:44,2011,5,Long Island,Nassau,ADULT,Community Residence,9596,599,5152,19369321
7/19/2017 9:44,2011,5,Long Island,Nassau,ADULT,Psychiatric Inpatient,9596,3253,67182,58454380
7/19/2017 9:44,2011,5,Long Island,Nassau,ADULT,Intensive Psychiatric Rehabilitation Treatment,9596,18,118,12071
7/19/2017 9:44,2011,5,Long Island,Nassau,ADULT,Partial Hospitalization,9596,212,2298,181251
7/19/2017 9:44,2011,5,Long Island,Nassau,ADULT,Personalized Recovery Oriented Services,9596,641,8332,4119883
7/19/2017 9:44,2011,5,Long Island,Nassau,ADULT,"Targeted Case Management (ICM, BCM, SCM)",9596,1349,10255,4234344
7/19/2017 9:44,2011,5,Long Island,Nassau,CHILD,Home and Community Based Services Waiver (HCBS),2220,143,11832,2710770
7/19/2017 9:44,2011,5,Long Island,Nassau,CHILD,Clinic Treatment,2220,1790,19478,3588259
7/19/2017 9:44,2011,5,Long Island,Nassau,CHILD,Community Residence,2220,64,323,3874887
7/19/2017 9:44,2011,5,Long Island,Nassau,CHILD,Day Treatment,2220,29,2178,765157
7/19/2017 9:44,2011,5,Long Island,Nassau,CHILD,Family Based Treatment/Teaching Family Home,2220,73,444,3049227
7/19/2017 9:44,2011,5,Long Island,Nassau,CHILD,Psychiatric Inpatient,2220,193,3827,3313393
7/19/2017 9:44,2011,5,Long Island,Nassau,CHILD,Residential Treatment Facility,2220,44,9841,4290334
7/19/2017 9:44,2011,5,Long Island,Nassau,CHILD,"Targeted Case Management (ICM, BCM, SCM)",2220,105,664,410613
7/19/2017 9:44,2011,5,Long Island,Suffolk,ADULT,Assertive Community Treatment,9817,404,3605,5304966
7/19/2017 9:44,2011,5,Long Island,Suffolk,ADULT,Continuing Day Treatment,9817,81,5514,432274
7/19/2017 9:44,2011,5,Long Island,Suffolk,ADULT,Clinic Treatment,9817,5140,75204,11613352
7/19/2017 9:44,2011,5,Long Island,Suffolk,ADULT,Comprehensive Psychiatric Emergency Program,9817,9,9,3336
7/19/2017 9:44,2011,5,Long Island,Suffolk,ADULT,Community Residence,9817,778,7052,25918411
7/19/2017 9:44,2011,5,Long Island,Suffolk,ADULT,Psychiatric Inpatient,9817,1222,21449,18239905
7/19/2017 9:44,2011,5,Long Island,Suffolk,ADULT,Psychiatric Inpatient OMH,9817,87,20136,18427706
7/19/2017 9:44,2011,5,Long Island,Suffolk,ADULT,Partial Hospitalization,9817,369,4587,538569
7/19/2017 9:44,2011,5,Long Island,Suffolk,ADULT,Personalized Recovery Oriented Services,9817,2397,36404,17149488
7/19/2017 9:44,2011,5,Long Island,Suffolk,ADULT,Recovery Services (PMHP - Prepaid Mental Health Plan),9817,1019,10751,15224991
7/19/2017 9:44,2011,5,Long Island,Suffolk,ADULT,"Targeted Case Management (ICM, BCM, SCM)",9817,2853,25630,12131073
7/19/2017 9:44,2011,5,Long Island,Suffolk,CHILD,Home and Community Based Services Waiver (HCBS),2750,163,8409,3227933
7/19/2017 9:44,2011,5,Long Island,Suffolk,CHILD,Clinic Treatment,2750,1990,26654,3730705
7/19/2017 9:44,2012,1,Western NY,Chemung,ADULT,Clinic Treatment,2528,1987,22071,2162198
7/19/2017 9:44,2011,5,Long Island,Suffolk,CHILD,Comprehensive Psychiatric Emergency Program,2750,2,2,1052
7/19/2017 9:44,2011,5,Long Island,Suffolk,CHILD,Community Residence,2750,55,251,2686491
7/19/2017 9:44,2011,5,Long Island,Suffolk,CHILD,Day Treatment,2750,164,4369,1508396
7/19/2017 9:44,2011,5,Long Island,Suffolk,CHILD,Family Based Treatment/Teaching Family Home,2750,11,107,607018
7/19/2017 9:44,2011,5,Long Island,Suffolk,CHILD,Psychiatric Inpatient,2750,530,25123,19324382
7/19/2017 9:44,2011,5,Long Island,Suffolk,CHILD,Psychiatric Inpatient OMH,2750,173,17336,23034705
7/19/2017 9:44,2011,5,Long Island,Suffolk,CHILD,Partial Hospitalization,2750,116,1925,276277
7/19/2017 9:44,2011,5,Long Island,Suffolk,CHILD,"Targeted Case Management (ICM, BCM, SCM)",2750,220,1285,645759
7/19/2017 9:44,2012,1,Western NY,Allegany,ADULT,Continuing Day Treatment,660,130,8985,589519
7/19/2017 9:44,2012,1,Western NY,Allegany,ADULT,Clinic Treatment,660,555,3983,417255
7/19/2017 9:44,2012,1,Western NY,Allegany,ADULT,Community Residence,660,19,125,280567
7/19/2017 9:44,2012,1,Western NY,Allegany,ADULT,"Targeted Case Management (ICM, BCM, SCM)",660,65,352,158576
7/19/2017 9:44,2012,1,Western NY,Allegany,CHILD,Clinic Treatment,303,283,2283,231161
7/19/2017 9:44,2012,1,Western NY,Allegany,CHILD,Community Residence,303,1,4,9155
7/19/2017 9:44,2012,1,Western NY,Allegany,CHILD,"Targeted Case Management (ICM, BCM, SCM)",303,66,398,192958
7/19/2017 9:44,2012,1,Western NY,Cattaraugus,ADULT,Continuing Day Treatment,1437,50,7017,389131
7/19/2017 9:44,2012,1,Western NY,Cattaraugus,ADULT,Clinic Treatment,1437,1022,6585,889343
7/19/2017 9:44,2012,1,Western NY,Cattaraugus,ADULT,Community Residence,1437,92,745,2295139
7/19/2017 9:44,2012,1,Western NY,Cattaraugus,ADULT,Psychiatric Inpatient,1437,228,2043,1346346
7/19/2017 9:44,2012,1,Western NY,Cattaraugus,ADULT,Personalized Recovery Oriented Services,1437,197,2704,1073783
7/19/2017 9:44,2012,1,Western NY,Cattaraugus,ADULT,"Targeted Case Management (ICM, BCM, SCM)",1437,70,397,190445
7/19/2017 9:44,2012,1,Western NY,Cattaraugus,CHILD,Home and Community Based Services Waiver (HCBS),640,47,2442,927603
7/19/2017 9:44,2012,1,Western NY,Cattaraugus,CHILD,Clinic Treatment,640,597,5007,659262
7/19/2017 9:44,2012,1,Western NY,Cattaraugus,CHILD,Community Residence,640,16,96,975845
7/19/2017 9:44,2012,1,Western NY,Cattaraugus,CHILD,"Targeted Case Management (ICM, BCM, SCM)",640,91,603,270963
7/19/2017 9:44,2012,1,Western NY,Chautauqua,ADULT,Assertive Community Treatment,2758,69,548,822195
7/19/2017 9:44,2012,1,Western NY,Chautauqua,ADULT,Clinic Treatment,2758,2246,14540,1789800
7/19/2017 9:44,2012,1,Western NY,Chautauqua,ADULT,Community Residence,2758,171,1211,3606513
7/19/2017 9:44,2012,1,Western NY,Chautauqua,ADULT,Psychiatric Inpatient,2758,175,1617,1153401
7/19/2017 9:44,2012,1,Western NY,Chautauqua,ADULT,Personalized Recovery Oriented Services,2758,328,4468,1496479
7/19/2017 9:44,2012,1,Western NY,Chautauqua,ADULT,"Targeted Case Management (ICM, BCM, SCM)",2758,203,1160,423278
7/19/2017 9:44,2012,1,Western NY,Chautauqua,CHILD,Clinic Treatment,1050,981,6683,1044397
7/19/2017 9:44,2012,1,Western NY,Chautauqua,CHILD,Community Residence,1050,1,3,6884
7/19/2017 9:44,2012,1,Western NY,Chautauqua,CHILD,Psychiatric Inpatient,1050,81,651,494468
7/19/2017 9:44,2012,1,Western NY,Chautauqua,CHILD,"Targeted Case Management (ICM, BCM, SCM)",1050,65,317,110284
7/19/2017 9:44,2012,1,Western NY,Chemung,ADULT,Assertive Community Treatment,2528,63,601,807976
7/19/2017 9:44,2012,1,Western NY,Chemung,ADULT,Community Residence,2528,70,513,935364
7/19/2017 9:44,2012,1,Western NY,Chemung,ADULT,Psychiatric Inpatient,2528,315,2546,1450705
7/19/2017 9:44,2012,1,Western NY,Chemung,ADULT,Psychiatric Inpatient OMH,2528,26,3400,3554116
7/19/2017 9:44,2012,1,Western NY,Chemung,ADULT,Personalized Recovery Oriented Services,2528,213,3495,1052326
7/19/2017 9:44,2012,1,Western NY,Chemung,ADULT,Recovery Services (PMHP - Prepaid Mental Health Plan),2528,286,2729,3153661
7/19/2017 9:44,2012,1,Western NY,Chemung,ADULT,"Targeted Case Management (ICM, BCM, SCM)",2528,109,606,245746
7/19/2017 9:44,2012,1,Western NY,Chemung,CHILD,Clinic Treatment,1278,1171,12310,1397955
7/19/2017 9:44,2012,1,Western NY,Chemung,CHILD,Community Residence,1278,19,108,973011
7/19/2017 9:44,2012,1,Western NY,Chemung,CHILD,Day Treatment,1278,35,3921,1254803
7/19/2017 9:44,2012,1,Western NY,Chemung,CHILD,Psychiatric Inpatient OMH,1278,99,5288,7303123
7/19/2017 9:44,2012,1,Western NY,Chemung,CHILD,"Targeted Case Management (ICM, BCM, SCM)",1278,11,87,50547
7/19/2017 9:44,2012,1,Western NY,Erie,ADULT,Assertive Community Treatment,13916,240,2189,2885382
7/19/2017 9:44,2012,1,Western NY,Erie,ADULT,Continuing Day Treatment,13916,478,58593,2988744
7/19/2017 9:44,2012,1,Western NY,Erie,ADULT,Clinic Treatment,13916,11542,125919,11650803
7/19/2017 9:44,2012,1,Western NY,Erie,ADULT,Comprehensive Psychiatric Emergency Program,13916,638,989,605918
7/19/2017 9:44,2012,1,Western NY,Erie,ADULT,Community Residence,13916,555,5226,12838266
7/19/2017 9:44,2012,1,Western NY,Erie,ADULT,Psychiatric Inpatient,13916,1236,18696,13660018
7/19/2017 9:44,2012,1,Western NY,Erie,ADULT,Psychiatric Inpatient OMH,13916,53,11568,11832502
7/19/2017 9:44,2012,1,Western NY,Erie,ADULT,Intensive Psychiatric Rehabilitation Treatment,13916,31,1074,154996
7/19/2017 9:44,2012,1,Western NY,Erie,ADULT,Partial Hospitalization,13916,187,1483,167581
7/19/2017 9:44,2012,1,Western NY,Erie,ADULT,Personalized Recovery Oriented Services,13916,957,13918,5292417
7/19/2017 9:44,2012,1,Western NY,Erie,ADULT,Recovery Services (PMHP - Prepaid Mental Health Plan),13916,817,7962,9210938
7/19/2017 9:44,2012,1,Western NY,Erie,ADULT,"Targeted Case Management (ICM, BCM, SCM)",13916,906,4757,1779270
7/19/2017 9:44,2012,1,Western NY,Erie,CHILD,Home and Community Based Services Waiver (HCBS),5549,131,1000,1956593
7/19/2017 9:44,2012,1,Western NY,Erie,CHILD,Clinic Treatment,5549,5097,49471,7320873
7/19/2017 9:44,2012,1,Western NY,Erie,CHILD,Comprehensive Psychiatric Emergency Program,5549,160,219,146200
7/19/2017 9:44,2012,1,Western NY,Erie,CHILD,Community Residence,5549,12,80,815539
7/19/2017 9:44,2012,1,Western NY,Erie,CHILD,Day Treatment,5549,99,8517,1663144
7/19/2017 9:44,2012,1,Western NY,Erie,CHILD,Psychiatric Inpatient,5549,125,2519,1797448
7/19/2017 9:44,2012,1,Western NY,Erie,CHILD,Psychiatric Inpatient OMH,5549,143,11623,15835431
7/19/2017 9:44,2012,1,Western NY,Erie,CHILD,Partial Hospitalization,5549,2,36,5468
7/19/2017 9:44,2012,1,Western NY,Erie,CHILD,Residential Treatment Facility,5549,86,19718,8954909
7/19/2017 9:44,2012,1,Western NY,Erie,CHILD,"Targeted Case Management (ICM, BCM, SCM)",5549,334,1471,756042
7/19/2017 9:44,2012,1,Western NY,Genesee,ADULT,Continuing Day Treatment,755,79,6335,474097
7/19/2017 9:44,2012,1,Western NY,Genesee,ADULT,Clinic Treatment,755,684,4600,811945
